cell_id,Longitude,Latitude,population,average_infected,geometry
-9.219102156317584e+18,-2.2691807,53.5202174,96.0,2.0,POINT (-252604.038666323 7079809.810384339)
-9.218720784844696e+18,-2.2677917,53.5390961,26.0,1.0,POINT (-252449.4158925841 7083345.382214534)
-9.21643102628216e+18,-2.233112,53.543663,56.0,4.0,POINT (-248588.8893449575 7084200.900532048)
-9.211025204644841e+18,-2.2752719,53.5291919,47.0,1.0,POINT (-253282.1079486497 7081490.343430566)
-9.203901165702088e+18,-2.2865513,53.4123151,71.0,2.0,POINT (-254537.7250196764 7059632.221383607)
-9.196734876822062e+18,-2.2120033,53.5472977,40.0,1.0,POINT (-246239.0796079293 7084881.855597787)
-9.191006981421672e+18,-2.262542,53.4222578,91.0,1.0,POINT (-251865.0219671313 7061489.349840532)
-9.1901165460601e+18,-2.2618061,53.5471989,9.0,1.0,POINT (-251783.1019476562 7084863.344807602)
-9.189900713025544e+18,-2.2732829,53.4545924,72.0,6.0,POINT (-253060.6934849808 7067531.911529893)
-9.188406391547171e+18,-2.2807174,53.4401935,111.0,7.0,POINT (-253888.2982405361 7064840.53434754)
-9.184143399525308e+18,-2.23607,53.5328712,86.0,2.0,POINT (-248918.17239947 7082179.419027086)
-9.160582186348368e+18,-2.2822287,53.4410888,47.0,1.0,POINT (-254056.5353870385 7065007.85317336)
-9.155669283483501e+18,-2.263003,53.4968613,94.0,4.0,POINT (-251916.3402487436 7075437.898083923)
-9.145751158847373e+18,-2.2727001,53.598408,80.0,1.0,POINT (-252995.8164786568 7094463.485253929)
-9.137181435360671e+18,-2.2253374,53.5005337,13.0,1.0,POINT (-247723.4248333896 7076125.156791377)
-9.132471859214541e+18,-2.265804,53.4626989,140.0,17.0,POINT (-252228.1461443415 7069047.543315745)
-9.130583765912669e+18,-2.2724512,53.5597588,112.0,1.0,POINT (-252968.1090592664 7087216.866205217)
-9.126467570693319e+18,-2.2045051,53.5571979,77.0,1.0,POINT (-245404.3838010296 7086736.938408873)
-9.121630381170426e+18,-2.2615455,53.5049541,46.0,1.0,POINT (-251754.0920904082 7076952.476354361)
-9.116477081914216e+18,-2.2521472,53.4456504,16.0,1.0,POINT (-250707.8781223203 7065860.406030312)
-9.116190489125581e+18,-2.2612248,53.4528217,119.0,3.0,POINT (-251718.3919322534 7067200.891102316)
-9.103812821667458e+18,-2.2315097,53.5265882,19.0,2.0,POINT (-248410.5221255811 7081002.747134542)
-9.102708764922049e+18,-2.204618,53.5805674,62.0,1.0,POINT (-245416.951770401 7091117.598370641)
-9.08759479958873e+18,-2.23026,53.5742289,13.0,1.0,POINT (-248271.4061555076 7089929.194474163)
-9.086314011072302e+18,-2.2540233,53.5076668,148.0,6.0,POINT (-250916.7246160796 7077460.226469824)
-9.079078786806893e+18,-2.2790058,53.4087376,63.0,189.0,POINT (-253697.7638015219 7058964.111004166)
-9.073165450407059e+18,-2.2750563,53.4959353,209.0,5.0,POINT (-253258.1074680499 7075264.614385507)
-9.072058613642842e+18,-2.2044921,53.5545015,71.0,1.0,POINT (-245402.936647781 7086231.648507419)
-9.069978445582312e+18,-2.2887508,53.5147786,79.0,1.0,POINT (-254782.5722347983 7078791.533222237)
-9.069130129305588e+18,-2.2630977,53.5121414,80.0,3.0,POINT (-251926.8822037782 7078297.831554387)
-9.049859240481053e+18,-2.2753653,53.5435731,88.0,1.0,POINT (-253292.5051883927 7084184.058656358)
-9.044881486293305e+18,-2.279159,53.4321075,50.0,9.0,POINT (-253714.8179463688 7063329.535736352)
-9.032703490387235e+18,-2.2767687,53.5273908,34.0,1.0,POINT (-253448.7309626672 7081153.047271658)
-9.028852664774798e+18,-2.245096,53.5283588,72.0,2.0,POINT (-249922.9421242517 7081334.325085251)
-9.022927791816161e+18,-2.265658,53.4393291,39.0,7.0,POINT (-252211.8934998272 7064678.99363691)
-9.017899115978282e+18,-2.2659615,53.4878663,44.0,3.0,POINT (-252245.6789629142 7073754.811056794)
-9.015753689935987e+18,-2.2342536,53.4771465,205.0,2.0,POINT (-248715.9716790034 7071749.456544429)
-9.012964791317126e+18,-2.2764349,53.4761575,64.0,4.0,POINT (-253411.5725191303 7071564.469702163)
-9.012056442493738e+18,-2.2640579,53.4240521,82.0,4.0,POINT (-252033.7711832465 7061824.541036999)
-9.010265443845805e+18,-2.2344222,53.5077069,157.0,7.0,POINT (-248734.7401436577 7077467.732438164)
-9.004926378175579e+18,-2.217906,53.5212208,75.0,2.0,POINT (-246896.165167948 7079997.685831939)
-8.996342934489251e+18,-2.2194235,53.5230157,63.0,1.0,POINT (-247065.0924952491 7080333.771918618)
-8.992291383492876e+18,-2.2874742,53.5489376,104.0,1.0,POINT (-254640.4617710866 7085189.10731049)
-8.968344338552712e+18,-2.2524032,53.4887945,270.0,22.0,POINT (-250736.3759098552 7073928.473403189)
-8.964260683308902e+18,-2.2616397,53.5202342,122.0,6.0,POINT (-251764.5783856976 7079812.955960087)
-8.963139107435057e+18,-2.2268978,53.510418,74.0,4.0,POINT (-247897.1277664504 7077975.216022675)
-8.957703577414554e+18,-2.1924125,53.5536227,106.0,1.0,POINT (-244058.2417259573 7086066.973382955)
-8.955441644406224e+18,-2.235955,53.5121981,42.0,1.0,POINT (-248905.3706590365 7078308.445854245)
-8.954231697242437e+18,-2.2300012,53.5265911,28.0,1.0,POINT (-248242.596673609 7081003.290202412)
-8.95100853878743e+18,-2.2270469,53.5382817,20.0,2.0,POINT (-247913.7255011682 7083192.83019055)
-8.943107289932849e+18,-2.2777947,53.4536831,60.0,4.0,POINT (-253562.9447639166 7067361.922301208)
-8.939779038616943e+18,-2.2646505,53.5193287,222.0,10.0,POINT (-252099.739108843 7079643.414946491)
-8.930272688032865e+18,-2.2661249,53.5139324,19.0,2.0,POINT (-252263.8685664413 7078633.11551397)
-8.927705407691117e+18,-2.2640523,53.4231533,82.0,1.0,POINT (-252033.1477941421 7061656.635435835)
-8.917608695507056e+18,-2.2762305,53.4446982,125.0,14.0,POINT (-253388.8188167461 7065682.434416143)
-8.915562401775263e+18,-2.2671747,53.4411234,50.0,8.0,POINT (-252380.7317715355 7065014.319491465)
-8.914543111109077e+18,-2.2241005,53.5517698,61.0,3.0,POINT (-247585.7337526173 7085719.776422664)
-8.911910543952341e+18,-2.235915,53.5050074,210.0,8.0,POINT (-248900.9178797556 7076962.452478346)
-8.902370089299624e+18,-2.255504,53.5031694,45.0,3.0,POINT (-251081.5553864265 7076618.442528349)
-8.896635958563103e+18,-2.2734043,53.4734679,45.0,3.0,POINT (-253074.2076702428 7071061.417076367)
-8.888545960092948e+18,-2.2673328,53.4662909,55.0,7.0,POINT (-252398.3313818009 7069719.214130382)
-8.888266330712461e+18,-2.2586123,53.5184431,122.0,9.0,POINT (-251427.5697591364 7079477.603408141)
-8.879952954009293e+18,-2.282056,53.4150224,50.0,21.0,POINT (-254037.3105122516 7060137.8562878)
-8.879165681735112e+18,-2.2674856,53.4905594,24.0,1.0,POINT (-252415.3409988114 7074258.689311808)
-8.879027065193071e+18,-2.2300549,53.5364783,51.0,3.0,POINT (-248248.5745297828 7082855.030811564)
-8.870902030833744e+18,-2.2825033,53.4824352,66.0,2.0,POINT (-254087.103717196 7072738.751077897)
-8.856656228966394e+18,-2.2417563,53.4717385,456.0,17.0,POINT (-249551.1684233917 7070737.973472376)
-8.85327827465327e+18,-2.2610593,53.4258565,69.0,1.0,POINT (-251699.9685578462 7062161.633269839)
-8.852903171837286e+18,-2.2375384,53.5256776,128.0,7.0,POINT (-249081.6339402116 7080832.225658689)
-8.851084359609193e+18,-2.2630142,53.4986589,53.0,5.0,POINT (-251917.5870269531 7075774.296335513)
-8.82977887775915e+18,-2.2253088,53.4951407,93.0,2.0,POINT (-247720.2410962165 7075115.922772415)
-8.828714116805189e+18,-2.217846,53.509536,104.0,3.0,POINT (-246889.4859990715 7077810.113230288)
-8.82847429901851e+18,-2.2449611,53.5049892,84.0,4.0,POINT (-249907.9251260821 7076959.045995577)
-8.828416249273709e+18,-2.261164,53.4429344,63.0,5.0,POINT (-251711.6237076965 7065352.780667503)
-8.820616222601541e+18,-2.2760031,53.4096434,58.0,57.0,POINT (-253363.5047662531 7059133.266944334)
-8.81169080435772e+18,-2.2732945,53.45639,89.0,8.0,POINT (-253061.9847909864 7067867.97484963)
-8.809164599102393e+18,-2.2557911,53.5508073,33.0,1.0,POINT (-251113.515209917 7085539.428882408)
-8.807561588072061e+18,-2.2375888,53.5346658,123.0,4.0,POINT (-249087.2444421097 7082515.541385476)
