cell_id,Longitude,Latitude,population,average_infected,geometry
-9.203901165702088e+18,-2.2865513,53.4123151,71.0,2.0,POINT (-254537.7250196764 7059632.221383607)
-9.191006981421672e+18,-2.262542,53.4222578,91.0,6.0,POINT (-251865.0219671313 7061489.349840532)
-9.138741663229698e+18,-2.2444902,53.423195,172.0,1.0,POINT (-249855.5047818688 7061664.42537001)
-9.115759044473532e+18,-2.2895356,53.4087125,113.0,6.0,POINT (-254869.9357764465 7058959.423691779)
-9.079078786806893e+18,-2.2790058,53.4087376,63.0,29.0,POINT (-253697.7638015219 7058964.111004166)
-9.022927791816161e+18,-2.265658,53.4393291,39.0,1.0,POINT (-252211.8934998272 7064678.99363691)
-9.012056442493738e+18,-2.2640579,53.4240521,82.0,3.0,POINT (-252033.7711832465 7061824.541036999)
-8.994877886770574e+18,-2.2865332,53.4096186,58.0,6.0,POINT (-254535.7101370248 7059128.63555697)
-8.943984299139856e+18,-2.2579624,53.4114815,81.0,1.0,POINT (-251355.2232272938 7059476.538706549)
-8.927705407691117e+18,-2.2640523,53.4231533,82.0,1.0,POINT (-252033.1477941421 7061656.635435835)
-8.915562401775263e+18,-2.2671747,53.4411234,50.0,1.0,POINT (-252380.7317715355 7065014.319491465)
-8.858654685558745e+18,-2.2970632,53.4095928,36.0,1.0,POINT (-255707.9043758484 7059123.817422973)
-8.85327827465327e+18,-2.2610593,53.4258565,69.0,2.0,POINT (-251699.9685578462 7062161.633269839)
-8.820616222601541e+18,-2.2760031,53.4096434,58.0,23.0,POINT (-253363.5047662531 7059133.266944334)
-8.805924310384728e+18,-2.2880739,53.415008,49.0,1.0,POINT (-254707.2200763365 7060135.166754689)
-8.764412734895832e+18,-2.2490255,53.426781,25.0,2.0,POINT (-250360.372068616 7062334.350944178)
-8.674580639741198e+18,-2.2910768,53.4141019,93.0,1.0,POINT (-255041.5013755036 7059965.933447234)
-8.67151610681658e+18,-2.2746727,53.4366121,152.0,1.0,POINT (-253215.4053142733 7064171.25692449)
-8.652780654463675e+18,-2.2744988,53.4096469,48.0,13.0,POINT (-253196.046856143 7059133.920567767)
-8.60330854372324e+18,-2.2566422,53.4420454,48.0,1.0,POINT (-251208.2592339417 7065186.631992487)
-8.560197662277663e+18,-2.2430932,53.4420738,68.0,1.0,POINT (-249699.9914521952 7065191.939725298)
-8.45694722818832e+18,-2.2895601,53.4123079,48.0,3.0,POINT (-254872.6631037952 7059630.876702536)
-8.423996675839226e+18,-2.2895051,53.4042183,94.0,3.0,POINT (-254866.5405321971 7058120.196568013)
